"Step","partition_20_batch16_embd384_lay12_heads8_Huber - loss","partition_20_batch16_embd384_lay12_heads8_Huber - loss__MIN","partition_20_batch16_embd384_lay12_heads8_Huber - loss__MAX","partition_20_batch16_embd384_lay12_heads8_MSE - loss","partition_20_batch16_embd384_lay12_heads8_MSE - loss__MIN","partition_20_batch16_embd384_lay12_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay12_heads8_Huber - loss","partition_20_batch16_embd192_lay12_heads8_Huber - loss__MIN","partition_20_batch16_embd192_lay12_heads8_Huber - loss__MAX","partition_20_batch16_embd192_lay12_heads8_MSE - loss","partition_20_batch16_embd192_lay12_heads8_MSE - loss__MIN","partition_20_batch16_embd192_lay12_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay10_heads8_Huber - loss","partition_20_batch16_embd192_lay10_heads8_Huber - loss__MIN","partition_20_batch16_embd192_lay10_heads8_Huber - loss__MAX","partition_20_batch16_embd192_lay10_heads8_MSE - loss","partition_20_batch16_embd192_lay10_heads8_MSE - loss__MIN","partition_20_batch16_embd192_lay10_heads8_MSE - loss__MAX","partition_20_batch16_embd192_lay12_heads12_MSE - loss","partition_20_batch16_embd192_lay12_heads12_MSE - loss__MIN","partition_20_batch16_embd192_lay12_heads12_MSE - loss__MAX"
"34","0.010044584050774574","0.010044584050774574","0.010044584050774574","0.022578516975045204","0.022578516975045204","0.022578516975045204","0.00865204632282257","0.00865204632282257","0.00865204632282257","0.019183170050382614","0.019183170050382614","0.019183170050382614","0.00729927746579051","0.00729927746579051","0.00729927746579051","0.016073953360319138","0.016073953360319138","0.016073953360319138","0.019120831042528152","0.019120831042528152","0.019120831042528152"
"35","0.009058329276740551","0.009058329276740551","0.009058329276740551","0.017743058502674103","0.017743058502674103","0.017743058502674103","0.007716573774814606","0.007716573774814606","0.007716573774814606","0.017512263730168343","0.017512263730168343","0.017512263730168343","0.008170362561941147","0.008170362561941147","0.008170362561941147","0.01741587556898594","0.01741587556898594","0.01741587556898594","0.018390735611319542","0.018390735611319542","0.018390735611319542"
"36","0.007956434041261673","0.007956434041261673","0.007956434041261673","0.018674742430448532","0.018674742430448532","0.018674742430448532","0.008590544573962688","0.008590544573962688","0.008590544573962688","0.025068212300539017","0.025068212300539017","0.025068212300539017","0.009479950182139874","0.009479950182139874","0.009479950182139874","0.021463165059685707","0.021463165059685707","0.021463165059685707","0.019464297220110893","0.019464297220110893","0.019464297220110893"
"37","0.006834134925156832","0.006834134925156832","0.006834134925156832","0.015944328159093857","0.015944328159093857","0.015944328159093857","0.007225842215120792","0.007225842215120792","0.007225842215120792","0.016115600243210793","0.016115600243210793","0.016115600243210793","0.0093185193836689","0.0093185193836689","0.0093185193836689","0.021110013127326965","0.021110013127326965","0.021110013127326965","0.016160964965820312","0.016160964965820312","0.016160964965820312"
"38","0.007025764789432287","0.007025764789432287","0.007025764789432287","0.01461646519601345","0.01461646519601345","0.01461646519601345","0.008640124462544918","0.008640124462544918","0.008640124462544918","0.020827513188123703","0.020827513188123703","0.020827513188123703","0.00700036296620965","0.00700036296620965","0.00700036296620965","0.015408748760819435","0.015408748760819435","0.015408748760819435","0.022395962849259377","0.022395962849259377","0.022395962849259377"
"39","0.006760663352906704","0.006760663352906704","0.006760663352906704","0.015918707475066185","0.015918707475066185","0.015918707475066185","0.0058049424551427364","0.0058049424551427364","0.0058049424551427364","0.0159381702542305","0.0159381702542305","0.0159381702542305","0.006735705770552158","0.006735705770552158","0.006735705770552158","0.01482344325631857","0.01482344325631857","0.01482344325631857","0.015762638300657272","0.015762638300657272","0.015762638300657272"
"40","0.008453680202364922","0.008453680202364922","0.008453680202364922","0.025103438645601273","0.025103438645601273","0.025103438645601273","0.011117938905954361","0.011117938905954361","0.011117938905954361","0.024039098992943764","0.024039098992943764","0.024039098992943764","0.00853982474654913","0.00853982474654913","0.00853982474654913","0.01988355815410614","0.01988355815410614","0.01988355815410614","0.026577940210700035","0.026577940210700035","0.026577940210700035"
"41","0.008046204224228859","0.008046204224228859","0.008046204224228859","0.01606639288365841","0.01606639288365841","0.01606639288365841","0.007187829818576574","0.007187829818576574","0.007187829818576574","0.014175388030707836","0.014175388030707836","0.014175388030707836","0.008228732272982597","0.008228732272982597","0.008228732272982597","0.018984654918313026","0.018984654918313026","0.018984654918313026","0.016047634184360504","0.016047634184360504","0.016047634184360504"
"42","0.007461817469447851","0.007461817469447851","0.007461817469447851","0.01589621789753437","0.01589621789753437","0.01589621789753437","0.008337164297699928","0.008337164297699928","0.008337164297699928","0.019869664683938026","0.019869664683938026","0.019869664683938026","0.0064628697000443935","0.0064628697000443935","0.0064628697000443935","0.01582271046936512","0.01582271046936512","0.01582271046936512","0.019476886838674545","0.019476886838674545","0.019476886838674545"
"43","0.006332471035420895","0.006332471035420895","0.006332471035420895","0.012899561785161495","0.012899561785161495","0.012899561785161495","0.007033792324364185","0.007033792324364185","0.007033792324364185","0.01636611297726631","0.01636611297726631","0.01636611297726631","0.008040926419198513","0.008040926419198513","0.008040926419198513","0.017930425703525543","0.017930425703525543","0.017930425703525543","0.016343219205737114","0.016343219205737114","0.016343219205737114"
